Campaign Name,Platform,Format,Target Audience,Verified Reach/Investment,Primary CTA,Duration,Key Message,Data Source
Faculty With Impact (verified),Digital campaign + PR,Faculty profiles with media outreach,University Leadership | Prospective Students | Alumni | Donors,Partners with premier PR agency - millions reach (verified),Learn More,Year-round ongoing,13 faculty showcased with $5.3M+ in grants secured,go.yu.edu/faculty-with-impact + yu.edu/marketing
YU Today in WSJ (verified),Wall Street Journal Print,Full-page color magazine insert,Corporate Executives | Employers | Donors | Thought Leaders,$210300-$354823 per placement (verified WSJ rates),Brand Awareness,Semi-annual (2x per year),Leadership with Purpose | Powered by Innovators themed issues,yu.edu/news 2024-2025 + WSJ media kit
Rise Up Campaign (verified),Multi-platform integrated,Comprehensive fundraising,Donors | Alumni | Major Gift Prospects,$350M raised by Dec 2022 (verified) continuing to $613M goal,Make a Gift | Donate,Dec 2021-Present (5-year campaign),$613M goal | Started with $250M in quiet phase (FY2019-2021),yu.edu official announcement + PR Newswire
Jewish Publications (verified),Print - Jewish Link Five Towns Times Jewish Standard,Sponsored content,Modern Orthodox community | Local Jewish families,Thousands within Modern Orthodox community (verified),Engagement,Ongoing,Faculty achievements | University news | Community connection,yu.edu/marketing faculty resources
YouTube Main Channel (verified),youtube.com/@YeshivaUniversity,Institutional content | Commencement | Presidential addresses | Israel advocacy,Prospective Students | Donors | Academic Community | Alumni,5810 subscribers | 1000 videos | Maccabeats White House 214K views (all-time top),Watch | Subscribe | Apply,Ongoing (1000+ videos),Torah Umadda mission | Maccabeats 214K | Rachel Goldberg-Polin 29K | Commencement 2025,youtube.com/@YeshivaUniversity verified Oct 2025
Y-Studs YouTube (verified),YouTube - Student A Cappella,Music videos | Performances | Jewish cultural content,Prospective Students | Young Demographics | Cultural Audiences,36000+ subscribers | 10M+ total platform views,Watch | Subscribe | Share,Founded 2010 ongoing,"A Jackson 5 Hanukkah" (Jan 2025) | Evolution of Shabbat | Viral entertainment,Y-Studs official channel + ystuds.com
YU Innovation Lab YouTube (verified),YouTube - Entrepreneurship,Startup pitches | Innovation Challenge | Business education,Entrepreneurs | Business Students | Startup Ecosystem | Corporate Partners,Channel confirmed (stats not disclosed),Watch | Learn | Apply to Programs,May 2019-Present,YU accelerator | Yissum partnership (Hebrew U) | Student startups,YU Innovation Lab channel + yu.edu/innovation-lab
Press Releases (verified),PR Newswire + National Media,Press releases | Media coverage,National media | Donors | Prospective students | Alumni,Times of Israel | Jerusalem Post | JNS.org | Jewish media,N/A - Earned media,Major milestones (2024-2025),Herald Center campus | $520M raised | Transfer Initiative | Commencement honors,yu.edu/news/press + PR Newswire 2024-2025
Meta Ads (verified),Facebook + Instagram,Video + Static Images,Graduate Students | Prospective Educators | Donors | Community,21 active campaigns (Oct 2025) | 81% graduate recruitment | 10% Israel advocacy,Become a Jewish Educator | Fully Online Option | Watch,Jul 2024-Present (15+ months),Azrieli 11 ads | Revel 6 ads | Fish Center 2 ads | Israel advocacy 2 ads,Meta Ads Library verified Oct 2025
Google Search (framework),Google Ads,Text ads,High-intent searchers | Prospective students,Not verified - industry standard approach,Apply Now | Learn More,Likely ongoing,Program-specific | NYC location | #67 US News ranking,Analysis framework - not directly verified
LinkedIn Ads (framework),LinkedIn,Sponsored content,Professional program prospects | Corporate partners,Not verified - industry standard approach,Learn More | Apply,Likely periodic,Graduate programs | Executive education | Professional dev,Analysis framework - not directly verified
